,Name,Likes,Links
0,"
            three.js
","
          75.9k
",https://github.com/mrdoob/three.js
1,"
            libgdx
","
          19.3k
",https://github.com/libgdx/libgdx
2,"
            react-three-fiber
","
          15.7k
",https://github.com/pmndrs/react-three-fiber
3,"
            Babylon.js
","
          15.2k
",https://github.com/BabylonJS/Babylon.js
4,"
            aframe
","
          13.3k
",https://github.com/aframevr/aframe
5,"
            tinyrenderer
","
          11.6k
",https://github.com/ssloy/tinyrenderer
6,"
            3d-game-shaders-for-beginners
","
          11.5k
",https://github.com/lettier/3d-game-shaders-for-beginners
7,"
            FreeCAD
","
          10.2k
",https://github.com/FreeCAD/FreeCAD
8,"
            zdog
","
          8.8k
",https://github.com/metafizzy/zdog
9,"
            cesium
","
          8k
",https://github.com/CesiumGS/cesium
10,"
            3D-Machine-Learning
","
          7.3k
",https://github.com/timzhang642/3D-Machine-Learning
11,"
            SpaceshipGenerator
","
          7k
",https://github.com/a1studmuffin/SpaceshipGenerator
12,"
            Open3D
","
          5.7k
",https://github.com/isl-org/Open3D
13,"
            spritejs
","
          4.7k
",https://github.com/spritejs/spritejs
14,"
            BlenderGIS
","
          4.5k
",https://github.com/domlysz/BlenderGIS
15,"
            tensorspace
","
          4.5k
",https://github.com/tensorspace-team/tensorspace
16,"
            webglstudio.js
","
          4.5k
",https://github.com/jagenjo/webglstudio.js
17,"
            PRNet
","
          4.5k
",https://github.com/YadiraF/PRNet
18,"
            openscad
","
          4.4k
",https://github.com/openscad/openscad
19,"
            vrn
","
          4.4k
",https://github.com/AaronJackson/vrn
20,"
            tinyraytracer
","
          3.9k
",https://github.com/ssloy/tinyraytracer
21,"
            blender
","
          3.8k
",https://github.com/blender/blender
22,"
            magnum
","
          3.7k
",https://github.com/mosra/magnum
23,"
            model-viewer
","
          3.6k
",https://github.com/google/model-viewer
24,"
            webgl-fundamentals
","
          3.3k
",https://github.com/gfxfundamentals/webgl-fundamentals
