,Name,Likes,Links
0,"
            public-apis
","
          168k
",https://github.com/public-apis/public-apis
1,"
            httpie
","
          52.8k
",https://github.com/httpie/httpie
2,"
            neovim
","
          48.6k
",https://github.com/neovim/neovim
3,"
            strapi
","
          40.9k
",https://github.com/strapi/strapi
4,"
            fastapi
","
          38k
",https://github.com/tiangolo/fastapi
5,"
            slate
","
          33.3k
",https://github.com/slatedocs/slate
6,"
            hoppscotch
","
          32.7k
",https://github.com/hoppscotch/hoppscotch
7,"
            graphql-engine
","
          24.5k
",https://github.com/hasura/graphql-engine
8,"
            yapi
","
          23k
",https://github.com/YMFE/yapi
9,"
            django-rest-framework
","
          22.2k
",https://github.com/encode/django-rest-framework
10,"
            ccxt
","
          22k
",https://github.com/ccxt/ccxt
11,"
            NeteaseCloudMusicApi
","
          21.9k
",https://github.com/Binaryify/NeteaseCloudMusicApi
12,"
            ItChat
","
          21.8k
",https://github.com/littlecodersh/ItChat
13,"
            normalizr
","
          20.7k
",https://github.com/paularmstrong/normalizr
14,"
            security-guide-for-developers
","
          20k
",https://github.com/FallibleInc/security-guide-for-developers
15,"
            insomnia
","
          18.6k
",https://github.com/Kong/insomnia
16,"
            api-guidelines
","
          17.8k
",https://github.com/microsoft/api-guidelines
17,"
            rxdb
","
          16.5k
",https://github.com/pubkey/rxdb
18,"
            API-Security-Checklist
","
          16.1k
",https://github.com/shieldfy/API-Security-Checklist
19,"
            learn-anything
","
          13.5k
",https://github.com/learn-anything/learn-anything
20,"
            wxpy
","
          13k
",https://github.com/youfou/wxpy
21,"
            directus
","
          12.8k
",https://github.com/directus/directus
22,"
            jsdoc
","
          12.5k
",https://github.com/jsdoc/jsdoc
23,"
            brain.js
","
          12.3k
",https://github.com/BrainJS/brain.js
24,"
            web3.js
","
          12k
",https://github.com/ChainSafe/web3.js
