,Name,Likes,Links
0,"
            aspnetboilerplate
","
          10k
",https://github.com/aspnetboilerplate/aspnetboilerplate
1,"
            AspNetCore.Docs
","
          9.8k
",https://github.com/dotnet/AspNetCore.Docs
2,"
            server
","
          8.6k
",https://github.com/bitwarden/server
3,"
            nopCommerce
","
          6.7k
",https://github.com/nopSolutions/nopCommerce
4,"
            Electron.NET
","
          6k
",https://github.com/ElectronNET/Electron.NET
5,"
            NSwag
","
          4.8k
",https://github.com/RicoSuter/NSwag
6,"
            clean-code-dotnet
","
          4.3k
",https://github.com/thangchung/clean-code-dotnet
7,"
            ImageProcessor
","
          2.5k
",https://github.com/JimBobSquarePants/ImageProcessor
8,"
            SmartStoreNET
","
          2.3k
",https://github.com/smartstore/SmartStoreNET
9,"
            aspnet-api-versioning
","
          2.1k
",https://github.com/dotnet/aspnet-api-versioning
10,"
            BaGet
","
          1.8k
",https://github.com/loic-sharma/BaGet
11,"
            aspnetcore-angular-universal
","
          1.5k
",https://github.com/TrilonIO/aspnetcore-angular-universal
12,"
            Awesome-Microservices-NetCore
","
          1.5k
",https://github.com/mjebrahimi/Awesome-Microservices-NetCore
13,"
            aspnetcore-Vue-starter
","
          1.2k
",https://github.com/TrilonIO/aspnetcore-Vue-starter
14,"
            DncZeus
","
          1.2k
",https://github.com/lampo1024/DncZeus
15,"
            csla
","
          959
",https://github.com/MarimerLLC/csla
16,"
            dotvvm
","
          574
",https://github.com/riganti/dotvvm
17,"
            aspnet-core-3-jwt-authentication-api
","
          567
",https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
18,"
            SharPyShell
","
          491
",https://github.com/antonioCoco/SharPyShell
19,"
            mvcarchitecture
","
          447
",https://github.com/chsakell/mvcarchitecture
20,"
            Gofer.NET
","
          420
",https://github.com/brthor/Gofer.NET
21,"
            YAFNET
","
          413
",https://github.com/YAFNET/YAFNET
22,"
            rrod
","
          377
",https://github.com/Maarten88/rrod
23,"
            SapphireDb
","
          359
",https://github.com/SapphireDb/SapphireDb
24,"
            BlazorTable
","
          352
",https://github.com/IvanJosipovic/BlazorTable
