,Name,Likes,Links
0,"
            infinite-scroll
","
          7k
",https://github.com/metafizzy/infinite-scroll
1,"
            Blog
","
          6.8k
",https://github.com/ljianshu/Blog
2,"
            unfetch
","
          5.2k
",https://github.com/developit/unfetch
3,"
            form
","
          5.1k
",https://github.com/jquery-form/form
4,"
            tabulator
","
          4.3k
",https://github.com/olifolkerd/tabulator
5,"
            elFinder
","
          4.2k
",https://github.com/Studio-42/elFinder
6,"
            reqwest
","
          2.9k
",https://github.com/ded/reqwest
7,"
            learn-to-send-email-via-google-script-html-no-server
","
          2.7k
",https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
8,"
            bliss
","
          2.4k
",https://github.com/LeaVerou/bliss
9,"
            wretch
","
          2.3k
",https://github.com/elbywan/wretch
10,"
            featherlight
","
          2k
",https://github.com/noelboss/featherlight
11,"
            Ajax-hook
","
          1.9k
",https://github.com/wendux/Ajax-hook
12,"
            jquery-confirm
","
          1.8k
",https://github.com/craftpip/jquery-confirm
13,"
            web-interview
","
          1.7k
",https://github.com/yisainan/web-interview
14,"
            sente
","
          1.6k
",https://github.com/ptaoussanis/sente
15,"
            Enterprise
","
          1.5k
",https://github.com/joaomilho/Enterprise
16,"
            tracy
","
          1.5k
",https://github.com/nette/tracy
17,"
            jeeplatform
","
          1.3k
",https://github.com/u014427391/jeeplatform
18,"
            pjax
","
          1.2k
",https://github.com/MoOx/pjax
19,"
            css-spinner
","
          1.2k
",https://github.com/loadingio/css-spinner
20,"
            eCommerce
","
          1.2k
",https://github.com/codingforentrepreneurs/eCommerce
21,"
            uploader
","
          1.1k
",https://github.com/danielm/uploader
22,"
            render_async
","
          1k
",https://github.com/renderedtext/render_async
23,"
            saber
","
          935
",https://github.com/swlib/saber
24,"
            infinite-ajax-scroll
","
          836
",https://github.com/webcreate/infinite-ajax-scroll
