,Name,Likes,Links
0,"
            serverless
","
          41.3k
",https://github.com/serverless/serverless
1,"
            localstack
","
          36.5k
",https://github.com/localstack/localstack
2,"
            data-science-ipython-notebooks
","
          21.8k
",https://github.com/donnemartin/data-science-ipython-notebooks
3,"
            devops-exercises
","
          19.2k
",https://github.com/bregman-arie/devops-exercises
4,"
            awesome-kubernetes
","
          12.2k
",https://github.com/ramitsurana/awesome-kubernetes
5,"
            aws-cli
","
          11.7k
",https://github.com/aws/aws-cli
6,"
            kubespray
","
          11.4k
",https://github.com/kubernetes-sigs/kubespray
7,"
            pulumi
","
          10.5k
",https://github.com/pulumi/pulumi
8,"
            awesome-aws
","
          9.8k
",https://github.com/donnemartin/awesome-aws
9,"
            cas
","
          9.1k
",https://github.com/apereo/cas
10,"
            sops
","
          8.6k
",https://github.com/mozilla/sops
11,"
            amplify-js
","
          8.5k
",https://github.com/aws-amplify/amplify-js
12,"
            chalice
","
          8.4k
",https://github.com/aws/chalice
13,"
            up
","
          8.4k
",https://github.com/apex/up
14,"
            serverless-application-model
","
          8.3k
",https://github.com/aws/serverless-application-model
15,"
            go-cloud
","
          8.1k
",https://github.com/google/go-cloud
16,"
            caprover
","
          7.8k
",https://github.com/caprover/caprover
17,"
            aws-cdk
","
          7.8k
",https://github.com/aws/aws-cdk
18,"
            aws-sdk-go
","
          7.2k
",https://github.com/aws/aws-sdk-go
19,"
            openvpn-install
","
          7k
",https://github.com/angristan/openvpn-install
20,"
            boto3
","
          6.8k
",https://github.com/boto/boto3
21,"
            aws-sdk-js
","
          6.8k
",https://github.com/aws/aws-sdk-js
22,"
            terraform-provider-aws
","
          6.5k
",https://github.com/hashicorp/terraform-provider-aws
23,"
            aws-shell
","
          6.3k
",https://github.com/awslabs/aws-shell
24,"
            amazon-sagemaker-examples
","
          6.2k
",https://github.com/aws/amazon-sagemaker-examples
