,Name,Likes,Links
0,"
            free-programming-books-zh_CN
","
          84.2k
",https://github.com/justjavac/free-programming-books-zh_CN
1,"
            angular
","
          77.7k
",https://github.com/angular/angular
2,"
            storybook
","
          66.1k
",https://github.com/storybookjs/storybook
3,"
            ionic-framework
","
          45.6k
",https://github.com/ionic-team/ionic-framework
4,"
            33-js-concepts
","
          45.1k
",https://github.com/leonardomso/33-js-concepts
5,"
            prettier
","
          41k
",https://github.com/prettier/prettier
6,"
            sheetjs
","
          28.1k
",https://github.com/SheetJS/sheetjs
7,"
            angular-cli
","
          25k
",https://github.com/angular/angular-cli
8,"
            components
","
          22.3k
",https://github.com/angular/components
9,"
            NativeScript
","
          20.6k
",https://github.com/NativeScript/NativeScript
10,"
            tabby
","
          20k
",https://github.com/Eugeny/tabby
11,"
            generator-jhipster
","
          19k
",https://github.com/jhipster/generator-jhipster
12,"
            rxdb
","
          16.5k
",https://github.com/pubkey/rxdb
13,"
            handsontable
","
          15.9k
",https://github.com/handsontable/handsontable
14,"
            bit
","
          14.3k
",https://github.com/teambit/bit
15,"
            sweetalert2
","
          13.8k
",https://github.com/sweetalert2/sweetalert2
16,"
            javascript-testing-best-practices
","
          13.7k
",https://github.com/goldbergyoni/javascript-testing-best-practices
17,"
            mean
","
          12.1k
",https://github.com/linnovate/mean
18,"
            codesandbox-client
","
          11k
",https://github.com/codesandbox/codesandbox-client
19,"
            coreui-free-bootstrap-admin-template
","
          11k
",https://github.com/coreui/coreui-free-bootstrap-admin-template
20,"
            angular-starter
","
          10.4k
",https://github.com/PatrickJS/angular-starter
21,"
            PeerTube
","
          9.9k
",https://github.com/Chocobozzz/PeerTube
22,"
            nx
","
          9.2k
",https://github.com/nrwl/nx
23,"
            protractor
","
          8.8k
",https://github.com/angular/protractor
24,"
            OnsenUI
","
          8.5k
",https://github.com/OnsenUI/OnsenUI
