,Name,Likes,Links
0,"
            ansible
","
          50.8k
",https://github.com/ansible/ansible
1,"
            algo
","
          24.1k
",https://github.com/trailofbits/algo
2,"
            streisand
","
          22.6k
",https://github.com/StreisandEffect/streisand
3,"
            devops-exercises
","
          19.2k
",https://github.com/bregman-arie/devops-exercises
4,"
            kubespray
","
          11.4k
",https://github.com/kubernetes-sigs/kubespray
5,"
            awx
","
          10.4k
",https://github.com/ansible/awx
6,"
            kubeasz
","
          7.5k
",https://github.com/easzlab/kubeasz
7,"
            ansible-for-devops
","
          5.2k
",https://github.com/geerlingguy/ansible-for-devops
8,"
            semaphore
","
          4.5k
",https://github.com/ansible-semaphore/semaphore
9,"
            rundeck
","
          4.4k
",https://github.com/rundeck/rundeck
10,"
            mac-dev-playbook
","
          4.1k
",https://github.com/geerlingguy/mac-dev-playbook
11,"
            KubeOperator
","
          4.1k
",https://github.com/KubeOperator/KubeOperator
12,"
            DevOps-Guide
","
          4.1k
",https://github.com/Tikam02/DevOps-Guide
13,"
            molecule
","
          3.2k
",https://github.com/ansible-community/molecule
14,"
            DetectionLab
","
          3.2k
",https://github.com/clong/DetectionLab
15,"
            opendevops
","
          3k
",https://github.com/opendevops-cn/opendevops
16,"
            OpsManage
","
          2.8k
",https://github.com/welliamcao/OpsManage
17,"
            werf
","
          2.7k
",https://github.com/werf/werf
18,"
            netboot.xyz
","
          2.7k
",https://github.com/netbootxyz/netboot.xyz
19,"
            ansible-lint
","
          2.6k
",https://github.com/ansible-community/ansible-lint
20,"
            ansible-collection-hardening
","
          2.5k
",https://github.com/dev-sec/ansible-collection-hardening
21,"
            chrome-aws-lambda
","
          2.5k
",https://github.com/alixaxel/chrome-aws-lambda
22,"
            litmus
","
          2.3k
",https://github.com/litmuschaos/litmus
23,"
            trellis
","
          2.3k
",https://github.com/roots/trellis
24,"
            deploy
","
          2.1k
",https://github.com/ansistrano/deploy
