,Name,Likes,Links
0,"
            Tasmota
","
          16.4k
",https://github.com/arendst/Tasmota
1,"
            johnny-five
","
          12.5k
",https://github.com/rwaldron/johnny-five
2,"
            Arduino
","
          12.2k
",https://github.com/arduino/Arduino
3,"
            Marlin
","
          12.1k
",https://github.com/MarlinFirmware/Marlin
4,"
            esp8266_deauther
","
          9.2k
",https://github.com/SpacehuhnTech/esp8266_deauther
5,"
            tinygo
","
          8.9k
",https://github.com/tinygo-org/tinygo
6,"
            arduino-esp32
","
          7.6k
",https://github.com/espressif/arduino-esp32
7,"
            gobot
","
          7.4k
",https://github.com/hybridgroup/gobot
8,"
            lowlevelprogramming-university
","
          7.1k
",https://github.com/gurugio/lowlevelprogramming-university
9,"
            platformio-core
","
          5.5k
",https://github.com/platformio/platformio-core
10,"
            ArduinoJson
","
          5.4k
",https://github.com/bblanchon/ArduinoJson
11,"
            WiFiManager
","
          4.9k
",https://github.com/tzapu/WiFiManager
12,"
            cylon
","
          3.8k
",https://github.com/hybridgroup/cylon
13,"
            Arduino-IRremote
","
          3.4k
",https://github.com/Arduino-IRremote/Arduino-IRremote
14,"
            blynk-library
","
          3.3k
",https://github.com/blynkkk/blynk-library
15,"
            arduino-cli
","
          3.1k
",https://github.com/arduino/arduino-cli
16,"
            nectarjs
","
          3.1k
",https://github.com/NectarJS/nectarjs
17,"
            u8g2
","
          2.7k
",https://github.com/olikraus/u8g2
18,"
            PJON
","
          2.6k
",https://github.com/gioblu/PJON
19,"
            OpenMQTTGateway
","
          2.4k
",https://github.com/1technophile/OpenMQTTGateway
20,"
            audio-reactive-led-strip
","
          2.2k
",https://github.com/scottlawsonbc/audio-reactive-led-strip
21,"
            OpenBot
","
          2k
",https://github.com/isl-org/OpenBot
22,"
            IRremoteESP8266
","
          1.9k
",https://github.com/crankyoldgit/IRremoteESP8266
23,"
            Serial-Studio
","
          1.9k
",https://github.com/Serial-Studio/Serial-Studio
24,"
            splitflap
","
          1.9k
",https://github.com/scottbez1/splitflap
