,Name,Likes,Links
0,"
            atom
","
          56.3k
",https://github.com/atom/atom
1,"
            themer
","
          4.5k
",https://github.com/themerdev/themer
2,"
            hydrogen
","
          3.8k
",https://github.com/nteract/hydrogen
3,"
            markdown-preview-enhanced
","
          3.4k
",https://github.com/shd101wyy/markdown-preview-enhanced
4,"
            v2
","
          3.2k
",https://github.com/miniflux/v2
5,"
            teletype
","
          2.3k
",https://github.com/atom/teletype
6,"
            awesome-atom
","
          1.9k
",https://github.com/mehcode/awesome-atom
7,"
            gofeed
","
          1.7k
",https://github.com/mmcdole/gofeed
8,"
            go-plus
","
          1.5k
",https://github.com/joefitzgerald/go-plus
9,"
            atom-beautify
","
          1.5k
",https://github.com/Glavin001/atom-beautify
10,"
            simplepie
","
          1.4k
",https://github.com/simplepie/simplepie
11,"
            atom-vim-mode-plus
","
          1.4k
",https://github.com/t9md/atom-vim-mode-plus
12,"
            merlin
","
          1.4k
",https://github.com/ocaml/merlin
13,"
            feedparser
","
          1.3k
",https://github.com/kurtmckee/feedparser
14,"
            MagicPython
","
          1.3k
",https://github.com/MagicStack/MagicPython
15,"
            apm
","
          1.2k
",https://github.com/atom/apm
16,"
            atom
","
          1.2k
",https://github.com/file-icons/atom
17,"
            atomic-layout
","
          1k
",https://github.com/kettanaito/atomic-layout
18,"
            github
","
          976
",https://github.com/atom/github
19,"
            FeedKit
","
          938
",https://github.com/nmdias/FeedKit
20,"
            atom-one-dark-terminal
","
          932
",https://github.com/nathanbuchar/atom-one-dark-terminal
21,"
            atomic-chrome
","
          929
",https://github.com/danhper/atomic-chrome
22,"
            seti-ui
","
          884
",https://github.com/jesseweed/seti-ui
23,"
            kotlin-language-server
","
          807
",https://github.com/fwcd/kotlin-language-server
24,"
            prettier-atom
","
          764
",https://github.com/prettier/prettier-atom
