,Name,Likes,Links
0,"
            awesome
","
          175k
",https://github.com/sindresorhus/awesome
1,"
            awesome-python
","
          107k
",https://github.com/vinta/awesome-python
2,"
            awesome-go
","
          70.8k
",https://github.com/avelino/awesome-go
3,"
            awesome-selfhosted
","
          68k
",https://github.com/awesome-selfhosted/awesome-selfhosted
4,"
            the-book-of-secret-knowledge
","
          52.9k
",https://github.com/trimstray/the-book-of-secret-knowledge
5,"
            papers-we-love
","
          50k
",https://github.com/papers-we-love/papers-we-love
6,"
            HelloGitHub
","
          48.3k
",https://github.com/521xueweihan/HelloGitHub
7,"
            Awesome-Hacking
","
          47.7k
",https://github.com/Hack-with-Github/Awesome-Hacking
8,"
            awesome-mac
","
          46.1k
",https://github.com/jaywcjlove/awesome-mac
9,"
            awesome-interview-questions
","
          44.1k
",https://github.com/DopplerHQ/awesome-interview-questions
10,"
            awesome-nodejs
","
          43k
",https://github.com/sindresorhus/awesome-nodejs
11,"
            awesome-android-ui
","
          41.6k
",https://github.com/wasabeef/awesome-android-ui
12,"
            awesome-ios
","
          38.6k
",https://github.com/vsouza/awesome-ios
13,"
            awesome-courses
","
          38.5k
",https://github.com/prakhar1989/awesome-courses
14,"
            awesome-flutter
","
          38.2k
",https://github.com/Solido/awesome-flutter
15,"
            awesome-scalability
","
          36.4k
",https://github.com/binhnguyennus/awesome-scalability
16,"
            awesome-for-beginners
","
          36.3k
",https://github.com/MunGell/awesome-for-beginners
17,"
            awesome-cpp
","
          34.7k
",https://github.com/fffaraz/awesome-cpp
18,"
            github-cheat-sheet
","
          33.5k
",https://github.com/tiimgreen/github-cheat-sheet
19,"
            frontend-dev-bookmarks
","
          32.8k
",https://github.com/dypsilon/frontend-dev-bookmarks
20,"
            awesome-java
","
          30.6k
",https://github.com/akullpp/awesome-java
21,"
            open-source-mac-os-apps
","
          28.6k
",https://github.com/serhii-londar/open-source-mac-os-apps
22,"
            open-source-ios-apps
","
          28.6k
",https://github.com/dkhamsing/open-source-ios-apps
23,"
            awesome-react-components
","
          28.4k
",https://github.com/brillout/awesome-react-components
24,"
            awesome-php
","
          25.9k
",https://github.com/ziadoz/awesome-php
