,Name,Likes,Links
0,"
            devops-exercises
","
          19.2k
",https://github.com/bregman-arie/devops-exercises
1,"
            awesome-kubernetes
","
          12.2k
",https://github.com/ramitsurana/awesome-kubernetes
2,"
            recommenders
","
          11.6k
",https://github.com/microsoft/recommenders
3,"
            azure-quickstart-templates
","
          11k
",https://github.com/Azure/azure-quickstart-templates
4,"
            pulumi
","
          10.5k
",https://github.com/pulumi/pulumi
5,"
            sops
","
          8.6k
",https://github.com/mozilla/sops
6,"
            computervision-recipes
","
          8.2k
",https://github.com/microsoft/computervision-recipes
7,"
            go-cloud
","
          8.1k
",https://github.com/google/go-cloud
8,"
            caprover
","
          7.8k
",https://github.com/caprover/caprover
9,"
            azuredatastudio
","
          6.6k
",https://github.com/microsoft/azuredatastudio
10,"
            formidable
","
          6.1k
",https://github.com/node-formidable/formidable
11,"
            midway
","
          5k
",https://github.com/midwayjs/midway
12,"
            infracost
","
          4.4k
",https://github.com/infracost/infracost
13,"
            clean-code-dotnet
","
          4.3k
",https://github.com/thangchung/clean-code-dotnet
14,"
            docker-android
","
          3.9k
",https://github.com/budtmo/docker-android
15,"
            cloud-custodian
","
          3.9k
",https://github.com/cloud-custodian/cloud-custodian
16,"
            ScoutSuite
","
          3.7k
",https://github.com/nccgroup/ScoutSuite
17,"
            tfsec
","
          3.5k
",https://github.com/aquasecurity/tfsec
18,"
            grant
","
          3.5k
",https://github.com/simov/grant
19,"
            checkov
","
          3.4k
",https://github.com/bridgecrewio/checkov
20,"
            engine
","
          3.4k
",https://github.com/Qovery/engine
21,"
            azure-sdk-for-net
","
          3k
",https://github.com/Azure/azure-sdk-for-net
22,"
            terraform-provider-azurerm
","
          3k
",https://github.com/hashicorp/terraform-provider-azurerm
23,"
            azure-cli
","
          2.8k
",https://github.com/Azure/azure-cli
24,"
            azure-powershell
","
          2.8k
",https://github.com/Azure/azure-powershell
