,Name,Likes,Links
0,"
            babel
","
          40k
",https://github.com/babel/babel
1,"
            nylas-mail
","
          24.6k
",https://github.com/nylas/nylas-mail
2,"
            react-starter-kit
","
          21k
",https://github.com/kriasoft/react-starter-kit
3,"
            ava
","
          19.4k
",https://github.com/avajs/ava
4,"
            electron-react-boilerplate
","
          18.5k
",https://github.com/electron-react-boilerplate/electron-react-boilerplate
5,"
            swc
","
          17.5k
",https://github.com/swc-project/swc
6,"
            electron-vue
","
          14.5k
",https://github.com/SimulatedGREG/electron-vue
7,"
            front-end-guide
","
          14k
",https://github.com/grab/front-end-guide
8,"
            babel-handbook
","
          10.5k
",https://github.com/jamiebuilds/babel-handbook
9,"
            grommet
","
          7.6k
",https://github.com/grommet/grommet
10,"
            htm
","
          7.3k
",https://github.com/developit/htm
11,"
            generator-angular-fullstack
","
          6.1k
",https://github.com/angular-fullstack/generator-angular-fullstack
12,"
            documentation
","
          5.4k
",https://github.com/documentationjs/documentation
13,"
            nwb
","
          5.4k
",https://github.com/insin/nwb
14,"
            poi
","
          5.3k
",https://github.com/egoist/poi
15,"
            thinkjs
","
          5.3k
",https://github.com/thinkjs/thinkjs
16,"
            twin.macro
","
          5k
",https://github.com/ben-rogerson/twin.macro
17,"
            babel-loader
","
          4.6k
",https://github.com/babel/babel-loader
18,"
            create-react-library
","
          4.5k
",https://github.com/transitive-bullshit/create-react-library
19,"
            backpack
","
          4.5k
",https://github.com/jaredpalmer/backpack
20,"
            react
","
          4.4k
",https://github.com/duxianwei520/react
21,"
            minify
","
          4.3k
",https://github.com/babel/minify
22,"
            astexplorer
","
          4.3k
",https://github.com/fkling/astexplorer
23,"
            babel-plugin-module-resolver
","
          3.1k
",https://github.com/tleunen/babel-plugin-module-resolver
24,"
            webpack-blocks
","
          3k
",https://github.com/andywer/webpack-blocks
