,Name,Likes,Links
0,"
            the-art-of-command-line
","
          98.3k
",https://github.com/jlevy/the-art-of-command-line
1,"
            nvm
","
          53.1k
",https://github.com/nvm-sh/nvm
2,"
            fzf
","
          40.3k
",https://github.com/junegunn/fzf
3,"
            pure-bash-bible
","
          28k
",https://github.com/dylanaraps/pure-bash-bible
4,"
            dotfiles
","
          27.1k
",https://github.com/mathiasbynens/dotfiles
5,"
            shellcheck
","
          26.8k
",https://github.com/koalaman/shellcheck
6,"
            awesome-cheatsheets
","
          25.6k
",https://github.com/LeCoupa/awesome-cheatsheets
7,"
            acme.sh
","
          24.3k
",https://github.com/acmesh-official/acme.sh
8,"
            awesome-shell
","
          22.4k
",https://github.com/alebcay/awesome-shell
9,"
            starship
","
          19.8k
",https://github.com/starship/starship
10,"
            linux-command
","
          17.2k
",https://github.com/jaywcjlove/linux-command
11,"
            openvpn-install
","
          14k
",https://github.com/Nyr/openvpn-install
12,"
            neofetch
","
          13.5k
",https://github.com/dylanaraps/neofetch
13,"
            powerline
","
          12.9k
",https://github.com/powerline/powerline
14,"
            shelljs
","
          12.8k
",https://github.com/shelljs/shelljs
15,"
            bash-it
","
          12.6k
",https://github.com/Bash-it/bash-it
16,"
            dockerfiles
","
          12.1k
",https://github.com/jessfraz/dockerfiles
17,"
            terminalizer
","
          12.1k
",https://github.com/faressoft/terminalizer
18,"
            navi
","
          9.9k
",https://github.com/denisidoro/navi
19,"
            TabNine
","
          8.8k
",https://github.com/codota/TabNine
20,"
            m-cli
","
          8.6k
",https://github.com/rgcr/m-cli
21,"
            Bash-Snippets
","
          8.5k
",https://github.com/alexanderepstein/Bash-Snippets
22,"
            mal
","
          8.2k
",https://github.com/kanaka/mal
23,"
            direnv
","
          8.1k
",https://github.com/direnv/direnv
24,"
            awesome-cheatsheets
","
          7.8k
",https://github.com/skywind3000/awesome-cheatsheets
