,Name,Likes,Links
0,"
            bitcoin
","
          59.1k
",https://github.com/bitcoin/bitcoin
1,"
            ccxt
","
          22k
",https://github.com/ccxt/ccxt
2,"
            ZeroNet
","
          17.2k
",https://github.com/HelloZeroNet/ZeroNet
3,"
            freqtrade
","
          13.3k
",https://github.com/freqtrade/freqtrade
4,"
            gekko
","
          9.8k
",https://github.com/askmike/gekko
5,"
            abu
","
          8.5k
",https://github.com/bbfamily/abu
6,"
            lbry-sdk
","
          7.2k
",https://github.com/lbryio/lbry-sdk
7,"
            blockchain
","
          6.4k
",https://github.com/dvf/blockchain
8,"
            blockchain_guide
","
          5.8k
",https://github.com/yeasy/blockchain_guide
9,"
            lnd
","
          5.5k
",https://github.com/lightningnetwork/lnd
10,"
            solana
","
          5.5k
",https://github.com/solana-labs/solana
11,"
            blackbird
","
          5.4k
",https://github.com/butor/blackbird
12,"
            electrum
","
          5.3k
",https://github.com/spesmilo/electrum
13,"
            btcd
","
          4.5k
",https://github.com/btcsuite/btcd
14,"
            bitcoinjs-lib
","
          4.4k
",https://github.com/bitcoinjs/bitcoinjs-lib
15,"
            bitcoinj
","
          4.1k
",https://github.com/bitcoinj/bitcoinj
16,"
            bisq
","
          3.7k
",https://github.com/bisq-network/bisq
17,"
            tribeca
","
          3.6k
",https://github.com/michaelgrosner/tribeca
18,"
            Crypto-Signal
","
          3.6k
",https://github.com/CryptoSignal/Crypto-Signal
19,"
            EthList
","
          3.6k
",https://github.com/Scanate/EthList
20,"
            alpha_vantage
","
          3.5k
",https://github.com/RomelTorres/alpha_vantage
21,"
            awesome-coins
","
          3.4k
",https://github.com/Zheaoli/awesome-coins
22,"
            CryptoList
","
          3.4k
",https://github.com/coinpride/CryptoList
23,"
            wallet
","
          3.3k
",https://github.com/bitpay/wallet
24,"
            squeezer
","
          3.2k
",https://github.com/SqueezerIO/squeezer
