,Name,Likes,Links
0,"
            ccxt
","
          22k
",https://github.com/ccxt/ccxt
1,"
            python-telegram-bot
","
          16.9k
",https://github.com/python-telegram-bot/python-telegram-bot
2,"
            discord.js
","
          16.2k
",https://github.com/discordjs/discord.js
3,"
            hubot
","
          16k
",https://github.com/hubotio/hubot
4,"
            InstaPy
","
          13.4k
",https://github.com/timgrossmann/InstaPy
5,"
            rasa
","
          13k
",https://github.com/RasaHQ/rasa
6,"
            ChatterBot
","
          11.7k
",https://github.com/gunthercox/ChatterBot
7,"
            botkit
","
          10.5k
",https://github.com/howdyai/botkit
8,"
            botpress
","
          9.4k
",https://github.com/botpress/botpress
9,"
            EverydayWechat
","
          8.6k
",https://github.com/sfyc23/EverydayWechat
10,"
            YYeTsBot
","
          8.1k
",https://github.com/tgbot-collection/YYeTsBot
11,"
            leon
","
          8.1k
",https://github.com/leon-ai/leon
12,"
            EZFN-Lobbybot
","
          6.9k
",https://github.com/EZFNDEV/EZFN-Lobbybot
13,"
            ailab
","
          6.8k
",https://github.com/microsoft/ailab
14,"
            botframework-sdk
","
          6.7k
",https://github.com/microsoft/botframework-sdk
15,"
            trump2cash
","
          6k
",https://github.com/maxbbraun/trump2cash
16,"
            node-telegram-bot-api
","
          5.7k
",https://github.com/yagop/node-telegram-bot-api
17,"
            botman
","
          5.5k
",https://github.com/botman/botman
18,"
            DeepPavlov
","
          5.5k
",https://github.com/deepmipt/DeepPavlov
19,"
            telegraf
","
          5.1k
",https://github.com/telegraf/telegraf
20,"
            nlp.js
","
          4.6k
",https://github.com/axa-group/nlp.js
21,"
            streetmerchant
","
          4.6k
",https://github.com/jef/streetmerchant
22,"
            igbot
","
          4.1k
",https://github.com/ohld/igbot
23,"
            whatsapp-web.js
","
          3.9k
",https://github.com/pedroslopez/whatsapp-web.js
24,"
            bottender
","
          3.8k
",https://github.com/Yoctol/bottender
