,Name,Likes,Links
0,"
            scrcpy
","
          57.2k
",https://github.com/Genymobile/scrcpy
1,"
            neovim
","
          48.6k
",https://github.com/neovim/neovim
2,"
            git
","
          40.1k
",https://github.com/git/git
3,"
            awesome-cpp
","
          34.7k
",https://github.com/fffaraz/awesome-cpp
4,"
            obs-studio
","
          32.6k
",https://github.com/obsproject/obs-studio
5,"
            open-source-mac-os-apps
","
          28.6k
",https://github.com/serhii-londar/open-source-mac-os-apps
6,"
            FFmpeg
","
          26.9k
",https://github.com/FFmpeg/FFmpeg
7,"
            vim
","
          25.2k
",https://github.com/vim/vim
8,"
            the_silver_searcher
","
          22.8k
",https://github.com/ggreer/the_silver_searcher
9,"
            curl
","
          22.6k
",https://github.com/curl/curl
10,"
            interview
","
          21.2k
",https://github.com/huihut/interview
11,"
            ruby
","
          18.6k
",https://github.com/ruby/ruby
12,"
            flatbuffers
","
          17k
",https://github.com/google/flatbuffers
13,"
            mpv
","
          16.8k
",https://github.com/mpv-player/mpv
14,"
            rufus
","
          16.6k
",https://github.com/pbatard/rufus
15,"
            graal
","
          16.2k
",https://github.com/oracle/graal
16,"
            radare2
","
          15.3k
",https://github.com/radareorg/radare2
17,"
            shadowsocks-libev
","
          14.7k
",https://github.com/shadowsocks/shadowsocks-libev
18,"
            vcpkg
","
          14.2k
",https://github.com/microsoft/vcpkg
19,"
            goaccess
","
          14k
",https://github.com/allinurl/goaccess
20,"
            nuklear
","
          13.3k
",https://github.com/vurtun/nuklear
21,"
            nnn
","
          12.9k
",https://github.com/jarun/nnn
22,"
            infer
","
          12.7k
",https://github.com/facebook/infer
23,"
            kitty
","
          12.6k
",https://github.com/kovidgoyal/kitty
24,"
            Sourcetrail
","
          12.2k
",https://github.com/CoatiSoftware/Sourcetrail
