,Name,Likes,Links
0,"
            COVID-19
","
          27.7k
",https://github.com/CSSEGISandData/COVID-19
1,"
            covid19india-react
","
          6.8k
",https://github.com/covid19india/covid19india-react
2,"
            covid-19-data
","
          6.6k
",https://github.com/nytimes/covid-19-data
3,"
            covid19
","
          6.3k
",https://github.com/tokyo-metropolitan-gov/covid19
4,"
            covid-19-data
","
          4.6k
",https://github.com/owid/covid-19-data
5,"
            COVID-19
","
          3.9k
",https://github.com/pcm-dpc/COVID-19
6,"
            covid-chestxray-dataset
","
          2.7k
",https://github.com/ieee8023/covid-chestxray-dataset
7,"
            API
","
          2.3k
",https://github.com/disease-sh/API
8,"
            corona
","
          2.1k
",https://github.com/geohot/corona
9,"
            app
","
          2.1k
",https://github.com/WorldHealthOrganization/app
10,"
            corona-cli
","
          1.8k
",https://github.com/ahmadawais/corona-cli
11,"
            cwa-server
","
          1.8k
",https://github.com/corona-warn-app/cwa-server
12,"
            coronavirus-tracker-api
","
          1.6k
",https://github.com/ExpDev07/coronavirus-tracker-api
13,"
            awesome-coronavirus
","
          1.5k
",https://github.com/soroushchehresa/awesome-coronavirus
14,"
            CoronaTracker
","
          1.4k
",https://github.com/mhdhejazi/CoronaTracker
15,"
            covid19-dashboard
","
          1.4k
",https://github.com/github/covid19-dashboard
16,"
            covid19_scenarios
","
          1.4k
",https://github.com/neherlab/covid19_scenarios
17,"
            covid19
","
          1.2k
",https://github.com/pomber/covid19
18,"
            covid-19
","
          1.1k
",https://github.com/datasets/covid-19
19,"
            covidpass
","
          1.1k
",https://github.com/covidpass-org/covidpass
20,"
            coronavirus
","
          1.1k
",https://github.com/FoldingAtHome/coronavirus
21,"
            tika-python
","
          1.1k
",https://github.com/chrismattmann/tika-python
22,"
            Face-Mask-Detection
","
          1.1k
",https://github.com/chandrikadeb7/Face-Mask-Detection
23,"
            COVID-Net
","
          1.1k
",https://github.com/lindawangg/COVID-Net
24,"
            ESP32-Paxcounter
","
          941
",https://github.com/cyberman54/ESP32-Paxcounter
