,Name,Likes,Links
0,"
            electron
","
          98.9k
",https://github.com/electron/electron
1,"
            mkcert
","
          32.6k
",https://github.com/FiloSottile/mkcert
2,"
            playwright
","
          30.5k
",https://github.com/microsoft/playwright
3,"
            octotree
","
          21.6k
",https://github.com/ovity/octotree
4,"
            bypass-paywalls-chrome
","
          20.1k
",https://github.com/iamadamdev/bypass-paywalls-chrome
5,"
            nightmare
","
          19k
",https://github.com/segmentio/nightmare
6,"
            linux-command
","
          17.2k
",https://github.com/jaywcjlove/linux-command
7,"
            headless-recorder
","
          13.7k
",https://github.com/checkly/headless-recorder
8,"
            chromeless
","
          13.2k
",https://github.com/prisma-archive/chromeless
9,"
            WebFundamentals
","
          12.3k
",https://github.com/google/WebFundamentals
10,"
            react-color
","
          10.2k
",https://github.com/casesandberg/react-color
11,"
            chrome-extensions-samples
","
          9.1k
",https://github.com/GoogleChrome/chrome-extensions-samples
12,"
            ext-saladict
","
          8.3k
",https://github.com/crimx/ext-saladict
13,"
            uBlock
","
          8.1k
",https://github.com/uBlock-LLC/uBlock
14,"
            chromedp
","
          6.9k
",https://github.com/chromedp/chromedp
15,"
            url-to-pdf-api
","
          6.5k
",https://github.com/alvarcarto/url-to-pdf-api
16,"
            metamask-extension
","
          6.1k
",https://github.com/MetaMask/metamask-extension
17,"
            InfoSpider
","
          5.9k
",https://github.com/kangvcar/InfoSpider
18,"
            simpread
","
          5.2k
",https://github.com/Kenshin/simpread
19,"
            headless-chrome-crawler
","
          5.1k
",https://github.com/yujiosaka/headless-chrome-crawler
20,"
            ferret
","
          4.7k
",https://github.com/MontFerret/ferret
21,"
            debugger
","
          4.6k
",https://github.com/firefox-devtools/debugger
22,"
            themer
","
          4.5k
",https://github.com/themerdev/themer
23,"
            polar-bookshelf
","
          4.4k
",https://github.com/burtonator/polar-bookshelf
24,"
            fetool
","
          4.3k
",https://github.com/nieweidong/fetool
