,Name,Likes,Links
0,"
            metabase
","
          26.5k
",https://github.com/metabase/metabase
1,"
            deeplearning4j
","
          12.2k
",https://github.com/eclipse/deeplearning4j
2,"
            LightTable
","
          11.6k
",https://github.com/LightTable/LightTable
3,"
            mal
","
          8.2k
",https://github.com/kanaka/mal
4,"
            awesomo
","
          8.1k
",https://github.com/lk-geimfari/awesomo
5,"
            logseq
","
          7.4k
",https://github.com/logseq/logseq
6,"
            penpot
","
          5.2k
",https://github.com/penpot/penpot
7,"
            datascript
","
          4.4k
",https://github.com/tonsky/datascript
8,"
            reagent
","
          4.3k
",https://github.com/reagent-project/reagent
9,"
            riemann
","
          4.1k
",https://github.com/riemann/riemann
10,"
            compojure
","
          3.9k
",https://github.com/weavejester/compojure
11,"
            clojure-style-guide
","
          3.7k
",https://github.com/bbatsov/clojure-style-guide
12,"
            intellij-rainbow-brackets
","
          3.7k
",https://github.com/izhangzhihao/intellij-rainbow-brackets
13,"
            ring
","
          3.4k
",https://github.com/ring-clojure/ring
14,"
            status-react
","
          3.3k
",https://github.com/status-im/status-react
15,"
            cider
","
          3.2k
",https://github.com/clojure-emacs/cider
16,"
            lein-figwheel
","
          2.9k
",https://github.com/bhauman/lein-figwheel
17,"
            Rich-Hickey-fanclub
","
          2.8k
",https://github.com/tallesl/Rich-Hickey-fanclub
18,"
            klipse
","
          2.8k
",https://github.com/viebel/klipse
19,"
            beakerx
","
          2.6k
",https://github.com/twosigma/beakerx
20,"
            pedestal
","
          2.4k
",https://github.com/pedestal/pedestal
21,"
            babashka
","
          2.4k
",https://github.com/babashka/babashka
22,"
            aleph
","
          2.4k
",https://github.com/clj-commons/aleph
23,"
            hiccup
","
          2.3k
",https://github.com/weavejester/hiccup
24,"
            awesome-clojure
","
          2.3k
",https://github.com/razum2um/awesome-clojure
