,Name,Likes,Links
0,"
            SwiftLint
","
          15.4k
",https://github.com/realm/SwiftLint
1,"
            infer
","
          12.7k
",https://github.com/facebook/infer
2,"
            static-analysis
","
          9.1k
",https://github.com/analysis-tools-dev/static-analysis
3,"
            checkstyle
","
          6.4k
",https://github.com/checkstyle/checkstyle
4,"
            awesome-guidelines
","
          6.3k
",https://github.com/Kristories/awesome-guidelines
5,"
            sonarqube
","
          6.3k
",https://github.com/SonarSource/sonarqube
6,"
            pyre-check
","
          5.7k
",https://github.com/facebook/pyre-check
7,"
            reviewdog
","
          4.4k
",https://github.com/reviewdog/reviewdog
8,"
            simplecov
","
          4.3k
",https://github.com/simplecov-ruby/simplecov
9,"
            detekt
","
          4.1k
",https://github.com/detekt/detekt
10,"
            pylint
","
          3.7k
",https://github.com/PyCQA/pylint
11,"
            eslint-plugin-import
","
          3.7k
",https://github.com/import-js/eslint-plugin-import
12,"
            grumphp
","
          3.6k
",https://github.com/phpro/grumphp
13,"
            pmd
","
          3.6k
",https://github.com/pmd/pmd
14,"
            HTMLHint
","
          2.7k
",https://github.com/htmlhint/HTMLHint
15,"
            jscpd
","
          2.4k
",https://github.com/kucherenko/jscpd
16,"
            codeclimate
","
          2.3k
",https://github.com/codeclimate/codeclimate
17,"
            state-of-the-art-shitcode
","
          2.1k
",https://github.com/trekhleb/state-of-the-art-shitcode
18,"
            piranha
","
          1.8k
",https://github.com/uber/piranha
19,"
            wemake-python-styleguide
","
          1.7k
",https://github.com/wemake-services/wemake-python-styleguide
20,"
            cross-platform-node-guide
","
          1.2k
",https://github.com/ehmicky/cross-platform-node-guide
21,"
            typewiz
","
          1.1k
",https://github.com/urish/typewiz
22,"
            feflow
","
          1.1k
",https://github.com/Tencent/feflow
23,"
            phpqa
","
          951
",https://github.com/jakzal/phpqa
24,"
            unused
","
          876
",https://github.com/joshuaclayton/unused
