,Name,Likes,Links
0,"
            octotree
","
          21.6k
",https://github.com/ovity/octotree
1,"
            gitpod
","
          5.9k
",https://github.com/gitpod-io/gitpod
2,"
            danger
","
          4.7k
",https://github.com/danger/danger
3,"
            reviewdog
","
          4.4k
",https://github.com/reviewdog/reviewdog
4,"
            danger-js
","
          4k
",https://github.com/danger/danger-js
5,"
            awesome-code-review
","
          3.2k
",https://github.com/joho/awesome-code-review
6,"
            hound
","
          1.9k
",https://github.com/houndci/hound
7,"
            nodejsscan
","
          1.9k
",https://github.com/ajinabraham/nodejsscan
8,"
            mutant
","
          1.8k
",https://github.com/mbj/mutant
9,"
            vscode-pull-request-github
","
          1.8k
",https://github.com/microsoft/vscode-pull-request-github
10,"
            cargo-crev
","
          1.4k
",https://github.com/crev-dev/cargo-crev
11,"
            reviewboard
","
          1.4k
",https://github.com/reviewboard/reviewboard
12,"
            code-review-tips
","
          1k
",https://github.com/ryanmcdermott/code-review-tips
13,"
            python_sec
","
          1k
",https://github.com/bit4woo/python_sec
14,"
            java-concurrency
","
          968
",https://github.com/code-review-checklists/java-concurrency
15,"
            Audit-Learning
","
          815
",https://github.com/jiangsir404/Audit-Learning
16,"
            codestream
","
          691
",https://github.com/TeamCodeStream/codestream
17,"
            enlightn
","
          573
",https://github.com/enlightn/enlightn
18,"
            gerrit-intellij-plugin
","
          428
",https://github.com/uwolfer/gerrit-intellij-plugin
19,"
            policy-bot
","
          425
",https://github.com/palantir/policy-bot
20,"
            cpp-project
","
          423
",https://github.com/bsamseth/cpp-project
21,"
            diffr
","
          388
",https://github.com/mookid/diffr
22,"
            code-review-checklist
","
          343
",https://github.com/mgreiler/code-review-checklist
23,"
            static-review
","
          329
",https://github.com/sjparkinson/static-review
24,"
            raptor
","
          324
",https://github.com/dpnishant/raptor
