,Name,Likes,Links
0,"
            ohmyzsh
","
          136k
",https://github.com/ohmyzsh/ohmyzsh
1,"
            httpie
","
          52.8k
",https://github.com/httpie/httpie
2,"
            fzf
","
          40.3k
",https://github.com/junegunn/fzf
3,"
            bat
","
          30.3k
",https://github.com/sharkdp/bat
4,"
            dive
","
          28.4k
",https://github.com/wagoodman/dive
5,"
            sherlock
","
          28.2k
",https://github.com/sherlock-project/sherlock
6,"
            ripgrep
","
          28k
",https://github.com/BurntSushi/ripgrep
7,"
            cheat.sh
","
          27.6k
",https://github.com/chubin/cheat.sh
8,"
            cli
","
          26.2k
",https://github.com/cli/cli
9,"
            angular-cli
","
          25k
",https://github.com/angular/angular-cli
10,"
            cobra
","
          23.9k
",https://github.com/spf13/cobra
11,"
            awesome-shell
","
          22.4k
",https://github.com/alebcay/awesome-shell
12,"
            lazygit
","
          22k
",https://github.com/jesseduffield/lazygit
13,"
            python-fire
","
          20.4k
",https://github.com/google/python-fire
14,"
            tqdm
","
          20k
",https://github.com/tqdm/tqdm
15,"
            fd
","
          19.5k
",https://github.com/sharkdp/fd
16,"
            ava
","
          19.4k
",https://github.com/avajs/ava
17,"
            pkg
","
          19.1k
",https://github.com/vercel/pkg
18,"
            n8n
","
          18.8k
",https://github.com/n8n-io/n8n
19,"
            modern-unix
","
          17.8k
",https://github.com/ibraheemdev/modern-unix
20,"
            chalk
","
          17.4k
",https://github.com/chalk/chalk
21,"
            ink
","
          17.1k
",https://github.com/vadimdemedes/ink
22,"
            svgo
","
          16.9k
",https://github.com/svg/svgo
23,"
            cli
","
          16.8k
",https://github.com/urfave/cli
24,"
            .tmux
","
          15.4k
",https://github.com/gpakosz/.tmux
