,Name,Likes,Links
0,"
            next.js
","
          76.6k
",https://github.com/vercel/next.js
1,"
            rust
","
          60.4k
",https://github.com/rust-lang/rust
2,"
            webpack
","
          59.8k
",https://github.com/webpack/webpack
3,"
            svelte
","
          52.7k
",https://github.com/sveltejs/svelte
4,"
            gatsby
","
          51.7k
",https://github.com/gatsbyjs/gatsby
5,"
            babel
","
          40k
",https://github.com/babel/babel
6,"
            parcel
","
          39.5k
",https://github.com/parcel-bundler/parcel
7,"
            kotlin
","
          39.3k
",https://github.com/JetBrains/kotlin
8,"
            esbuild
","
          28.7k
",https://github.com/evanw/esbuild
9,"
            marked
","
          26.3k
",https://github.com/markedjs/marked
10,"
            v
","
          25.9k
",https://github.com/vlang/v
11,"
            pkg
","
          19.1k
",https://github.com/vercel/pkg
12,"
            swc
","
          17.5k
",https://github.com/swc-project/swc
13,"
            assemblyscript
","
          13k
",https://github.com/AssemblyScript/assemblyscript
14,"
            bytecode-viewer
","
          12.5k
",https://github.com/Konloch/bytecode-viewer
15,"
            Nim
","
          12.1k
",https://github.com/nim-lang/Nim
16,"
            zig
","
          11.1k
",https://github.com/ziglang/zig
17,"
            gopherjs
","
          10.6k
",https://github.com/gopherjs/gopherjs
18,"
            RustPython
","
          9.8k
",https://github.com/RustPython/RustPython
19,"
            compiler-explorer
","
          9.7k
",https://github.com/compiler-explorer/compiler-explorer
20,"
            tvm
","
          7.4k
",https://github.com/apache/tvm
21,"
            kotlin-native
","
          7.1k
",https://github.com/JetBrains/kotlin-native
22,"
            numba
","
          7k
",https://github.com/numba/numba
23,"
            compiler
","
          6.6k
",https://github.com/elm/compiler
24,"
            awesome-compilers
","
          6.3k
",https://github.com/aalhour/awesome-compilers
