,Name,Likes,Links
0,"
            localstack
","
          36.5k
",https://github.com/localstack/localstack
1,"
            drone
","
          24.2k
",https://github.com/harness/drone
2,"
            jenkins
","
          18.1k
",https://github.com/jenkinsci/jenkins
3,"
            volkswagen
","
          12k
",https://github.com/auchenberg/volkswagen
4,"
            origin
","
          8k
",https://github.com/openshift/origin
5,"
            gocd
","
          6.3k
",https://github.com/gocd/gocd
6,"
            concourse
","
          6k
",https://github.com/concourse/concourse
7,"
            onedev
","
          4.8k
",https://github.com/theonedev/onedev
8,"
            buildbot
","
          4.7k
",https://github.com/buildbot/buildbot
9,"
            strider
","
          4.5k
",https://github.com/Strider-CD/strider
10,"
            gaia
","
          4.5k
",https://github.com/gaia-pipeline/gaia
11,"
            jx
","
          4k
",https://github.com/jenkins-x/jx
12,"
            hygieia
","
          3.7k
",https://github.com/hygieia/hygieia
13,"
            xcpretty
","
          3.7k
",https://github.com/xcpretty/xcpretty
14,"
            cds
","
          3.6k
",https://github.com/ovh/cds
15,"
            cake
","
          3.1k
",https://github.com/cake-build/cake
16,"
            cml
","
          2.8k
",https://github.com/iterative/cml
17,"
            werf
","
          2.7k
",https://github.com/werf/werf
18,"
            awesome-ci
","
          2.7k
",https://github.com/ligurio/awesome-ci
19,"
            tox
","
          2.5k
",https://github.com/tox-dev/tox
20,"
            PHPCI
","
          2.4k
",https://github.com/dancryer/PHPCI
21,"
            ModernCppStarter
","
          2.3k
",https://github.com/TheLartians/ModernCppStarter
22,"
            syncd
","
          2k
",https://github.com/dreamans/syncd
23,"
            hound
","
          1.9k
",https://github.com/houndci/hound
24,"
            setup-php
","
          1.9k
",https://github.com/shivammathur/setup-php
